Coordinates,Date,State,County,Urban Area,Census Block,Census Tract
"(-70.94525158522335, 43.33363847394325)",2023-08-18,New Hampshire,Strafford,,1016,842.02
"(-71.16228000718668, 42.5520476128779)",2023-08-18,Massachusetts,Middlesex,,3008,3311.02
"(-71.2381100229269, 43.02455942712349)",2023-08-18,New Hampshire,Rockingham,,2009,550.01
"(-71.46312773170993, 43.61043196033536)",2023-08-18,New Hampshire,Belknap,,1009,9662
"(-72.3299606745271, 43.64847203283912)",2023-08-18,Vermont,Windsor,,4019,9656
"(-73.23952359810168, 41.27474213027385)",2023-08-18,Connecticut,Greater Bridgeport,,3005,902
"(-71.5151302530832, 43.01849576419597)",2023-08-18,New Hampshire,Hillsborough,,4022,27.02
"(-73.26594011907761, 42.44717202042047)",2023-08-18,Massachusetts,Berkshire,,5006,9006
"(-71.40772367490463, 42.9709151954084)",2023-08-18,New Hampshire,Hillsborough,,3006,10
"(-71.51800432035792, 42.41388933308088)",2023-08-18,Massachusetts,Middlesex,,2013,3231.01
"(-70.96755220569966, 41.76706391650079)",2023-08-18,Massachusetts,Bristol,,1012,6171.02
"(-71.27504993185157, 42.87232035409325)",2023-08-18,New Hampshire,Rockingham,,3007,36.02
"(-71.96037747231584, 42.41857431851599)",2023-08-18,Massachusetts,Worcester,,2011,7211.03
"(-71.49265114858304, 42.78556865377316)",2023-08-18,New Hampshire,Hillsborough,,2008,101
"(-71.2232263637024, 42.79436046933303)",2023-08-18,New Hampshire,Rockingham,,2016,1002
"(-71.00493230666333, 43.1561045074289)",2023-08-18,New Hampshire,Strafford,,2017,805
"(-71.23867602641351, 42.787778071140885)",2023-08-18,New Hampshire,Rockingham,,1028,1003.01
"(-71.35346192152409, 42.68158336295974)",2023-08-18,Massachusetts,Middlesex,,3007,3141.02
"(-71.04031980927054, 42.064727815575125)",2023-08-18,Massachusetts,Plymouth,,2008,5117.01
"(-81.56852489786303, 41.50510848104891)",2023-08-18,Ohio,Cuyahoga,,1009,1406
"(-70.95512503344061, 42.534827073182505)",2023-08-18,Massachusetts,Essex,,2000,2103.02
"(-71.12064602863745, 42.41986843522504)",2023-08-18,Massachusetts,Middlesex,,4010,3392
"(-71.18548865056941, 42.91118419408803)",2023-08-18,New Hampshire,Rockingham,,3017,520
"(-71.75269220898947, 42.18396738290056)",2023-08-18,Massachusetts,Worcester,,1017,7371
"(-71.3916315248817, 42.6335081763401)",2023-08-18,Massachusetts,Middlesex,,1017,3173.02
"(-71.36479993277472, 41.83964781702829)",2023-08-18,Rhode Island,Providence,,3015,101.01
"(-70.79713208002124, 43.09218787951037)",2023-08-18,New Hampshire,Rockingham,,3002,1071
"(-72.4497093802431, 43.12853636480384)",2023-08-18,Vermont,Windham,,1002,9670
"(-71.2302529839349, 42.77863848171231)",2023-08-18,New Hampshire,Rockingham,,2001,1003.01
"(-71.15523391320393, 42.56957017613725)",2023-08-18,Massachusetts,Middlesex,,4003,3311.02
"(-73.4107086549077, 41.1010463223144)",2023-08-18,Connecticut,Western Connecticut,,3001,442
"(-70.95806513115522, 42.50035515327155)",2023-08-18,Massachusetts,Essex,,3010,2105
"(-71.17059438347697, 42.76274147411043)",2023-08-18,Massachusetts,Essex,,2001,2526.03
"(-74.54803105069308, 39.47698023662424)",2023-08-18,New Jersey,Atlantic,,3009,104.03
"(-71.28506760634554, 43.100895146512805)",2023-08-18,New Hampshire,Rockingham,,2037,560
"(-71.12079264958349, 42.482761975273895)",2023-08-18,Massachusetts,Middlesex,,2014,3334
"(-73.18698530989076, 41.34616039767928)",2023-08-18,Connecticut,Greater Bridgeport,,1003,1003
"(-71.064831809924, 42.41167664299728)",2023-08-18,Massachusetts,Middlesex,,1007,3423.02
"(-70.92189130945522, 41.62030093391398)",2023-08-18,Massachusetts,Bristol,,2013,6526
"(-71.0567459012273, 42.76637311233278)",2023-08-18,Massachusetts,Essex,,2010,2603.01
"(-71.47876906388176, 42.62606456515247)",2023-08-18,Massachusetts,Middlesex,,3016,3131.01
"(-73.44830263001289, 40.84114883447939)",2023-08-18,New York,Suffolk,,5001,1119
"(-72.10780787120609, 41.48424823549788)",2023-08-18,Connecticut,Southeastern Connecticut,,2001,8705.01
"(-73.02251351100317, 41.874244217430046)",2023-08-18,Connecticut,Northwest Hills,,1007,3061
"(-71.40837142752568, 43.005981423881074)",2023-08-18,New Hampshire,Hillsborough,,2002,9.02
"(-72.64584653259074, 41.9957809142586)",2023-08-18,Connecticut,Capitol,,2016,4771.03
"(-70.54723457761696, 41.891838514211344)",2023-08-18,Massachusetts,Plymouth,,2024,5308.01
"(-71.48179728691609, 41.99398219501848)",2023-08-18,Rhode Island,Providence,,2017,185
"(-71.54723568457595, 43.02658987482195)",2023-08-18,New Hampshire,Hillsborough,,4019,27.02
"(-70.35683121242053, 43.74398633810419)",2023-08-18,Maine,Cumberland,,3003,27
"(-72.16883893110482, 43.35533220532984)",2023-08-18,New Hampshire,Sullivan,,3011,9754.02
"(-71.55394771435593, 42.82368513550331)",2023-08-18,New Hampshire,Hillsborough,,1002,143.02
"(-70.94174167169695, 42.48468446848833)",2023-08-18,Massachusetts,Essex,,3002,2051
"(-70.77586127828353, 43.03737754169281)",2023-08-18,New Hampshire,Rockingham,,5007,1072
"(-73.85020560418599, 40.83130543309156)",2023-08-18,New York,Bronx,,2001,92
"(-71.30998122864948, 42.642224575700894)",2023-08-18,Massachusetts,Middlesex,,3001,3101.01
"(-70.974902057666, 42.25766411696704)",2023-08-18,Massachusetts,Norfolk,,2002,4178.02
"(-71.46111670731004, 41.84837771599546)",2023-08-18,Rhode Island,Providence,,3002,120
"(-71.02373732570855, 42.90559640462552)",2023-08-18,New Hampshire,Rockingham,,1053,620
"(-69.99092243771125, 41.7461402705866)",2023-08-18,Massachusetts,Barnstable,,4007,104
"(-78.87288229982579, 42.994766634759735)",2023-08-18,New York,Erie,,1001,81.01
"(-84.3029123179107, 30.449040492594666)",2023-08-18,Florida,Leon,,2008,14.01
"(-72.08940128707394, 41.52165543214534)",2023-08-18,Connecticut,Southeastern Connecticut,,4005,6967.01
"(-71.18881396711636, 43.03706171361215)",2023-08-18,New Hampshire,Rockingham,,1004,550.02
"(-70.70463052556227, 41.98137897422525)",2023-08-18,Massachusetts,Plymouth,,3005,5091.01
"(-70.9393040212707, 41.812412838998334)",2023-08-18,Massachusetts,Plymouth,,1006,5401.02
"(-70.86556257034636, 43.256627963214775)",2023-08-18,New Hampshire,Strafford,,1005,830.01
"(-71.14044366233018, 42.40537357901522)",2023-08-18,Massachusetts,Middlesex,,1001,3567.01
"(-71.4894051592205, 42.60025958790108)",2023-08-18,Massachusetts,Middlesex,,1018,3182
"(-70.98836709004298, 43.30616444159761)",2023-08-18,New Hampshire,Strafford,,1015,844
"(-71.26519823631878, 42.75323211114667)",2023-08-18,New Hampshire,Hillsborough,,2001,2003
"(-70.96377356803018, 42.48650675083066)",2023-08-18,Massachusetts,Essex,,4002,2053
"(-71.44389102507381, 42.893285824862936)",2023-08-18,New Hampshire,Hillsborough,,4040,26
"(-70.96521151564467, 43.28024948492822)",2023-08-18,New Hampshire,Strafford,,2012,841
"(-71.03689727694605, 42.116356106914665)",2023-08-18,Massachusetts,Norfolk,,3005,4571
"(-71.18483803590911, 42.83627504817586)",2023-08-18,New Hampshire,Rockingham,,3010,1031
"(-87.60771848531046, 41.8069158694214)",2023-08-18,Illinois,Cook,,1006,8436
"(-72.43603293725813, 43.04654695564943)",2023-08-18,New Hampshire,Cheshire,,3042,9702
"(-71.35849252929076, 42.75626360129547)",2023-08-18,New Hampshire,Hillsborough,,2004,2001.01
"(-71.39739371576623, 42.96477182861787)",2023-08-18,New Hampshire,Hillsborough,,3005,10
"(-71.0304965637351, 42.3923905699541)",2023-08-18,Massachusetts,Suffolk,,3000,1601.02
"(-71.45845212861981, 42.95590769508128)",2023-08-18,New Hampshire,Hillsborough,,3005,24
"(-71.00049568642687, 42.38910814370566)",2023-08-18,Massachusetts,Suffolk,,1000,511.01
"(-73.20976224620807, 44.41306840360975)",2023-08-18,Vermont,Chittenden,,2012,34.01
"(-122.69225505803584, 38.42872722448823)",2023-08-18,California,Sonoma,,2010,1514.03
"(-71.16824350445391, 42.44117762993624)",2023-08-18,Massachusetts,Middlesex,,3012,3384
"(-70.87070233206606, 43.16354719144519)",2023-08-18,New Hampshire,Strafford,,1002,811.02
"(-71.87159053776857, 42.04835650978299)",2023-08-18,Massachusetts,Worcester,,1026,7542
"(-71.44704457480657, 42.98870567900654)",2023-08-18,New Hampshire,Hillsborough,,1006,16
"(-72.50524155052724, 41.76751867996676)",2023-08-18,Connecticut,Capitol,,1009,5148
"(-71.64524516233654, 42.83728985837615)",2023-08-18,New Hampshire,Hillsborough,,1006,161
"(-74.23686915499736, 40.59677223917966)",2023-08-18,New Jersey,Middlesex,,1001,35
"(-71.6657607107845, 42.76704526576667)",2023-08-18,New Hampshire,Hillsborough,,2009,180.02
"(-72.2173860643944, 41.63408328851066)",2023-08-18,Connecticut,Southeastern Connecticut,,2023,8701
"(-72.887333418126, 41.87512882649425)",2023-08-18,Connecticut,Capitol,,3004,4641.01
"(-71.03474179525152, 43.19100561468469)",2023-08-18,New Hampshire,Strafford,,2020,850.02
"(-71.42827161741623, 41.8035230162072)",2023-08-18,Rhode Island,Providence,,1013,3.01
"(-71.18712129602325, 42.56768186618834)",2023-08-18,Massachusetts,Middlesex,,2022,3312
"(-71.44859785692177, 42.64862169295107)",2023-08-18,Massachusetts,Middlesex,,2033,3131.01
"(-72.69343546517297, 42.171466547475084)",2023-08-18,Massachusetts,Hampden,,4009,8125
"(-71.45933106789724, 42.96967205449137)",2023-08-18,New Hampshire,Hillsborough,,1008,24
"(-72.83462463138548, 41.4968399440711)",2023-08-18,Connecticut,South Central Connecticut,,2008,1757
"(-71.13805713861096, 41.98178166061296)",2023-08-18,Massachusetts,Bristol,,1030,6111.01
"(-71.54729322506367, 42.98852243643446)",2023-08-18,New Hampshire,Hillsborough,,1014,28.01
"(-157.83241148050544, 21.30131904781892)",2023-08-18,Hawaii,Honolulu,,3002,27.02
"(-70.82826403240111, 41.77228096613855)",2023-08-18,Massachusetts,Plymouth,,3030,5411
"(-71.14976040988029, 42.28656842036744)",2023-08-18,Massachusetts,Suffolk,,2000,1303
"(-71.2688044144909, 42.75425847264129)",2023-08-18,New Hampshire,Hillsborough,,1000,2005
"(-70.99311687462796, 42.18570945158456)",2023-08-18,Massachusetts,Norfolk,,3005,4196.02
"(-71.34519923145554, 43.21515228007901)",2023-08-18,New Hampshire,Merrimack,,2017,340
"(-71.12905555405295, 42.16506008244016)",2023-08-18,Massachusetts,Norfolk,,1011,4152.02
"(-70.92922501742181, 42.55886395256516)",2023-08-18,Massachusetts,Essex,,1009,2112.01
"(-72.70613520149637, 41.75782742850978)",2023-08-18,Connecticut,Capitol,,1010,5041
"(-70.99842101664525, 42.20033663818546)",2023-08-18,Massachusetts,Norfolk,,1002,4197
"(-70.85636617199387, 42.80528376761389)",2023-08-18,Massachusetts,Essex,,3027,2684
"(-71.32689838786557, 41.90486521878258)",2023-08-18,Massachusetts,Bristol,,5010,6312
"(-71.5930638057527, 42.438584177425525)",2023-08-18,Massachusetts,Worcester,,1025,7151
"(-71.5399761476862, 42.34431130321661)",2023-08-18,Massachusetts,Middlesex,,2003,3212
"(-71.4064328773985, 42.89595396719462)",2023-08-18,New Hampshire,Rockingham,,1004,38.01
"(-73.48856342812323, 41.49377080301751)",2023-08-18,Connecticut,Western Connecticut,,4001,2202
"(-71.46526281278507, 42.7152189246341)",2023-08-18,New Hampshire,Hillsborough,,2000,112
"(-71.34446351879896, 42.67626445269212)",2023-08-18,Massachusetts,Middlesex,,2000,3141.02
"(-71.25569552361932, 42.54572507495762)",2023-08-18,Massachusetts,Middlesex,,3000,3163
"(-71.4829781456608, 42.70826751760462)",2023-08-18,New Hampshire,Hillsborough,,4011,112
"(-72.76012099669447, 41.688234975609255)",2023-08-18,Connecticut,Capitol,,1014,4172
"(-71.21417359818898, 42.78793442366396)",2023-08-18,New Hampshire,Rockingham,,4003,1002
"(-70.370328809906, 43.55539593884066)",2023-08-18,Maine,Cumberland,,2019,173.07
"(-70.97804854076688, 42.98781457663862)",2023-08-18,New Hampshire,Rockingham,,2021,610.01
"(-71.75605073381094, 43.558328611341615)",2023-08-18,New Hampshire,Merrimack,,1004,415
"(-71.92372795805012, 42.20161477566895)",2023-08-18,Massachusetts,Worcester,,2015,7351
"(-71.49034305891298, 43.11129053269845)",2023-08-18,New Hampshire,Merrimack,,1039,310.01
"(-71.27609018637585, 42.89882105538065)",2023-08-18,New Hampshire,Rockingham,,1020,33.01
"(-72.7423252467587, 42.13280906790511)",2023-08-18,Massachusetts,Hampden,,3015,8125
"(-71.04177876996877, 43.02621518381497)",2023-08-18,New Hampshire,Rockingham,,1045,590
"(-71.23701063219441, 42.82860208319924)",2023-08-18,New Hampshire,Rockingham,,1020,1001
"(-98.4546216424275, 29.47596264578284)",2023-08-18,Texas,Bexar,,2011,1204.02
"(-71.50540694648852, 42.87275946415485)",2023-08-18,New Hampshire,Hillsborough,,2000,142.02
"(-71.19454323275609, 44.39821426521059)",2023-08-18,New Hampshire,Coos,,4024,9509
"(-72.01247717654518, 41.4222260560155)",2023-08-18,Connecticut,Southeastern Connecticut,,3002,7011
"(-71.30013165518918, 42.64087846908204)",2023-08-18,Massachusetts,Middlesex,,2014,3124
"(-71.27577023697955, 42.99857523191231)",2023-08-18,New Hampshire,Rockingham,,2006,510
"(-71.5494935180956, 42.96825813790671)",2023-08-18,New Hampshire,Hillsborough,,3018,29.02
"(-71.26999679001428, 42.72823192007525)",2023-08-18,New Hampshire,Hillsborough,,2013,2003
"(-72.73365049607595, 41.728796294037735)",2023-08-18,Connecticut,Capitol,,1006,4962
"(-73.8069380985651, 41.29517951202589)",2023-08-18,New York,Westchester,,3008,148.06
"(-72.02781639079728, 43.42208593099223)",2023-08-18,New Hampshire,Merrimack,,2013,410.01
"(-70.96920292717215, 42.1059813816013)",2023-08-18,Massachusetts,Plymouth,,2019,5202.02
"(-72.49876948609756, 43.44972670377226)",2023-08-18,Vermont,Windsor,,2047,9659.02
"(-71.38088136096702, 42.94248828265733)",2023-08-18,New Hampshire,Hillsborough,,4019,10
"(-70.86375242851771, 43.27499166128785)",2023-08-18,Maine,York,,2014,320.01
"(-71.41614442216039, 41.802430558378845)",2023-08-18,Rhode Island,Providence,,4004,4
"(-71.36507897225006, 41.811254811154576)",2023-08-18,Rhode Island,Providence,,1005,104
"(-71.10293197889223, 42.26144184746104)",2023-08-18,Massachusetts,Suffolk,,3010,1404
"(-71.4263107012092, 42.05749158942652)",2023-08-18,Massachusetts,Norfolk,,1012,4422.01
"(-70.29051137680602, 43.70827652909028)",2023-08-18,Maine,Cumberland,,3005,21.01
"(-71.45156180375375, 42.12469855535992)",2023-08-18,Massachusetts,Norfolk,,3016,4431.06
"(-71.15635697377527, 42.88812142369194)",2023-08-18,New Hampshire,Rockingham,,2018,1041.01
"(-71.52854786776588, 42.87843925014069)",2023-08-18,New Hampshire,Hillsborough,,3000,142.01
"(-71.26284547609704, 41.7109704424832)",2023-08-18,Rhode Island,Bristol,,1025,309.01
"(-70.4117713336246, 43.51609265085371)",2023-08-18,Maine,York,,2005,61.03
"(-74.85166866107278, 40.09813539290042)",2023-08-18,Pennsylvania,Bucks,,3002,1006
"(-70.91652605870618, 42.542793614401496)",2023-08-18,Massachusetts,Essex,,1007,2111
"(-70.7930454498779, 43.43049677879392)",2023-08-18,Maine,York,,3004,302.03
"(-71.41324353747109, 42.65915102820696)",2023-08-18,Massachusetts,Middlesex,,1046,3131.01
"(-81.38595652983109, 41.70416608861404)",2023-08-18,Ohio,Lake,,2015,2029.01
"(-70.93575416108938, 42.46937098750667)",2023-08-18,Massachusetts,Essex,,3003,2065
"(-71.13857414567572, 42.69596054146526)",2023-08-18,Massachusetts,Essex,,2020,2531
"(-70.94479150699628, 42.24041224642165)",2023-08-18,Massachusetts,Norfolk,,2002,4227
"(-70.93846831150955, 42.56045468297537)",2023-08-18,Massachusetts,Essex,,2004,2112.01
"(-71.3676087531123, 42.78452622551245)",2023-08-18,New Hampshire,Hillsborough,,3006,123.01
"(-71.31179890452331, 42.72642222930661)",2023-08-18,New Hampshire,Hillsborough,,3006,2003
"(-97.18614895330832, 30.102659297137134)",2023-08-18,Texas,Bastrop,,3031,9505.03
"(-71.98886317577606, 44.07078704249517)",2023-08-18,New Hampshire,Grafton,,1009,9606
"(-70.8691054676876, 43.24350933794772)",2023-08-18,New Hampshire,Strafford,,4000,830.02
"(-71.51164605861773, 42.86940116504381)",2023-08-18,New Hampshire,Hillsborough,,2015,142.02
"(-71.3248087604922, 42.881275813113774)",2023-08-18,New Hampshire,Rockingham,,4001,35
"(-77.13361350285763, 39.05212230538221)",2023-08-18,Maryland,Montgomery,,2002,7012.05
"(-71.06484104480484, 42.38005351090958)",2023-08-18,Massachusetts,Suffolk,,4003,403
"(-71.13977777922301, 43.57368930023577)",2023-08-18,New Hampshire,Carroll,,3000,9561.02
"(-81.99969837871988, 26.987823257023)",2023-08-18,Florida,Charlotte,,1000,210.01
"(-71.37375243695443, 42.781818692369534)",2023-08-18,New Hampshire,Hillsborough,,3004,123.01
"(-71.54225216447243, 42.15682208134637)",2023-08-18,Massachusetts,Worcester,,1006,7441.02
"(-71.19429300604179, 44.39893242005696)",2023-08-18,New Hampshire,Coos,,4022,9509
"(-71.30271733743962, 41.99973427543826)",2023-08-18,Massachusetts,Bristol,,4010,6302.02
"(-71.68794788903705, 42.42948145202757)",2023-08-18,Massachusetts,Worcester,,2000,7162
"(-71.51034693332953, 43.23301211077312)",2023-08-18,New Hampshire,Merrimack,,1030,328
"(-76.96470767987941, 38.75965565051476)",2023-08-18,Maryland,Prince George's,,1011,8013.05
"(-71.40206174785874, 42.6767642102486)",2023-08-18,Massachusetts,Middlesex,,4016,3131.02
"(-71.4333684665087, 42.97699024655045)",2023-08-18,New Hampshire,Hillsborough,,1014,18
"(-71.26628503002715, 42.90776181647914)",2023-08-18,New Hampshire,Rockingham,,2006,33.01
"(-71.52955058261864, 42.75230129995135)",2023-08-18,New Hampshire,Hillsborough,,1014,171.02
"(-71.34555868788364, 42.8397908692192)",2023-08-18,New Hampshire,Rockingham,,1032,39.01
"(-71.39581726997355, 43.17344863168753)",2023-08-18,New Hampshire,Merrimack,,2023,32.02
"(-122.76725670821152, 38.4773589040034)",2023-08-18,California,Sonoma,,2016,1529.06
"(-71.15485973685891, 42.72470979417979)",2023-08-18,Massachusetts,Essex,,2011,2525.01
"(-71.05420187231171, 42.49487578390279)",2023-08-18,Massachusetts,Middlesex,,1004,3353.01
"(-71.4668061977225, 43.21546520256099)",2023-08-18,New Hampshire,Merrimack,,1018,32.02
"(-73.81949271867683, 40.93349282215608)",2023-08-18,New York,Westchester,,1021,47
"(-74.30203993415381, 40.95894667085663)",2023-08-18,New Jersey,Morris,,1011,403.02
"(-72.315655220974, 41.75873488249286)",2023-08-18,Connecticut,Capitol,,3004,8502
"(-71.68256129238895, 43.2879831920695)",2023-08-18,New Hampshire,Merrimack,,3036,385
"(-71.48260138001272, 43.00993360151307)",2023-08-18,New Hampshire,Hillsborough,,1000,2.04
"(-75.29801189966764, 40.90374500747266)",2023-08-18,Pennsylvania,Monroe,,1025,3011.02
"(-73.73752779060881, 42.760537495739214)",2023-08-18,New York,Albany,,1005,135.03
"(-71.21175468451273, 42.55812466011648)",2023-08-18,Massachusetts,Middlesex,,1020,3313
"(-71.61674820320503, 43.66574337823041)",2023-08-18,New Hampshire,Belknap,,2031,9651
"(-72.77483603325956, 42.1063912996942)",2023-08-18,Massachusetts,Hampden,,3009,8129.02
"(-71.27405196490912, 42.53794901901649)",2023-08-18,Massachusetts,Middlesex,,5008,3163
"(-71.38024357737272, 42.94690724711146)",2023-08-18,New Hampshire,Hillsborough,,4013,10
"(-70.81723551427942, 43.17045429753684)",2023-08-18,Maine,York,,2021,370
"(-71.53742392818728, 43.19561915187192)",2023-08-18,New Hampshire,Merrimack,,1025,322
"(-71.29585249580984, 42.90300570136678)",2023-08-18,New Hampshire,Rockingham,,1022,33.01
"(-71.0694699157555, 42.30956593183811)",2023-08-18,Massachusetts,Suffolk,,1001,918
"(-71.22331331790339, 42.40139182098336)",2023-08-18,Massachusetts,Middlesex,,5010,3689.01
"(-70.6891314005075, 42.09234403520941)",2023-08-18,Massachusetts,Plymouth,,1015,5062.03
"(-70.95813541599942, 42.795104140695294)",2023-08-18,Massachusetts,Essex,,1010,2631
"(-71.44951485354296, 42.9865295626958)",2023-08-18,New Hampshire,Hillsborough,,5003,16
"(-71.15643595569155, 42.69615883302161)",2023-08-18,Massachusetts,Essex,,3008,2516
"(-70.83818137857952, 42.03364906759249)",2023-08-18,Massachusetts,Plymouth,,3002,5081.02
"(-71.64039476672897, 43.33309569307255)",2023-08-18,New Hampshire,Merrimack,,1023,380
"(-71.179812373951, 42.38169176866702)",2023-08-18,Massachusetts,Middlesex,,2001,3575
"(-73.18396817481712, 41.20192277326191)",2023-08-18,Connecticut,Greater Bridgeport,,2005,734
"(-72.65092254292078, 44.93645811958925)",2023-08-18,Vermont,Franklin,,2052,103
"(-71.25438625420107, 42.89114674538193)",2023-08-18,New Hampshire,Rockingham,,1003,36.02
"(-75.83562533495757, 44.00697700259455)",2023-08-18,New York,Jefferson,,3003,611.02
"(-71.4491278427357, 41.7840546639646)",2023-08-18,Rhode Island,Providence,,3025,140
"(-70.6825377006052, 42.07241623751912)",2023-08-18,Massachusetts,Plymouth,,1034,5062.02
"(-71.9846021975312, 42.32833634032188)",2023-08-18,Massachusetts,Worcester,,2027,7211.04
"(-71.13533969124697, 42.52905935686786)",2023-08-18,Massachusetts,Middlesex,,1001,3336.01
"(-70.69398433684621, 42.61426415082774)",2023-08-18,Massachusetts,Essex,,3004,2219.01
"(-71.56601385552014, 43.17045751159167)",2023-08-18,New Hampshire,Merrimack,,2050,325
"(-71.68589147235207, 43.21193333783116)",2023-08-18,New Hampshire,Merrimack,,4001,390
"(-71.49128065098661, 44.90284701487872)",2023-08-18,New Hampshire,Coos,,1042,9502
"(-71.32959595432185, 42.73683662307944)",2023-08-18,New Hampshire,Hillsborough,,1003,2002.01
"(-70.78877522930016, 42.10268442128651)",2023-08-18,Massachusetts,Plymouth,,3006,5081.01
"(-75.44090258285506, 39.897371401259285)",2023-08-18,Pennsylvania,Delaware,,2007,4072.02
"(-70.93126499482501, 42.71427662179308)",2023-08-18,Massachusetts,Essex,,3013,2701
"(-73.90249339998124, 40.63963010258306)",2023-08-18,New York,Kings,,1000,992
"(-97.7999149669237, 30.28192222706251)",2023-08-18,Texas,Travis,,2014,19.19
"(-71.49078219676156, 42.243589655760296)",2023-08-18,Massachusetts,Middlesex,,2007,3201.07
"(-71.07297052668814, 42.855685918181806)",2023-08-18,New Hampshire,Rockingham,,3005,1021
"(-72.93020931130857, 41.38666446046061)",2023-08-18,Connecticut,South Central Connecticut,,5001,1659
"(-71.2028167875252, 42.78685767967848)",2023-08-18,New Hampshire,Rockingham,,1000,1004.02
"(-72.51675268749969, 42.04678596238461)",2023-08-18,Massachusetts,Hampden,,3013,8134.04
"(-71.33102886469746, 42.87812680178274)",2023-08-18,New Hampshire,Rockingham,,2015,35
"(-71.51319622626984, 43.531544322743024)",2023-08-18,New Hampshire,Belknap,,1014,9654
"(-71.4965343147504, 42.39139243748726)",2023-08-18,Massachusetts,Middlesex,,1003,3221
"(-71.37232866358134, 42.91302440509132)",2023-08-18,New Hampshire,Rockingham,,3005,37.03
"(-71.43784987968485, 42.79179148857738)",2023-08-18,New Hampshire,Hillsborough,,3003,121.01
"(-71.04559260549188, 42.41472606579452)",2023-08-18,Massachusetts,Middlesex,,4004,3421.02
"(-70.95085824650653, 43.32340245516342)",2023-08-18,New Hampshire,Strafford,,3022,842.01
"(-70.9770037746204, 42.73395656169704)",2023-08-18,Massachusetts,Essex,,1007,2651.02
"(-71.41086146983774, 42.90116713890196)",2023-08-18,New Hampshire,Rockingham,,2014,37.03
"(-71.39685714252408, 43.04184782874493)",2023-08-18,New Hampshire,Merrimack,,2002,442
"(-71.89174294110404, 43.15389226898533)",2023-08-18,New Hampshire,Hillsborough,,2019,255.01
"(-70.93734913310578, 42.227025910150765)",2023-08-18,Massachusetts,Norfolk,,4001,4226
"(-71.66236665376302, 43.05606378466257)",2023-08-18,New Hampshire,Hillsborough,,2003,210.02
"(-71.0445409608473, 42.712451383875184)",2023-08-18,Massachusetts,Essex,,4021,2131
"(-70.64198141713845, 43.15825362689164)",2023-08-18,Maine,York,,2023,360.04
"(-75.15932855657194, 39.99212791719389)",2023-08-18,Pennsylvania,Philadelphia,,2003,167.02
"(-70.68031874077195, 42.07430167914935)",2023-08-18,Massachusetts,Plymouth,,1033,5062.02
"(-71.43997095309183, 42.61778242970341)",2023-08-18,Massachusetts,Middlesex,,1016,3181
"(-71.32438020254779, 41.99056005122896)",2023-08-18,Massachusetts,Bristol,,2003,6302.02
"(-72.94107697494294, 41.30345625765067)",2023-08-18,Connecticut,South Central Connecticut,,2006,1406
"(-71.54268523563333, 42.9469035179492)",2023-08-18,New Hampshire,Hillsborough,,1000,29.03
"(-71.3367301123364, 42.82276650279694)",2023-08-18,New Hampshire,Rockingham,,4001,1061.01
"(-73.92511057304809, 40.84095324839232)",2023-08-18,New York,Bronx,,1003,211
"(-71.45106307696958, 42.9580601413188)",2023-08-18,New Hampshire,Hillsborough,,5004,24
"(-72.61245198723965, 42.04893742156286)",2023-08-18,Massachusetts,Hampden,,2007,8132.08
"(-71.46191437479308, 41.82848435211642)",2023-08-18,Rhode Island,Providence,,2032,20
"(-70.72374987801747, 42.062454657386894)",2023-08-18,Massachusetts,Plymouth,,1013,5071.04
"(-118.23771618223412, 34.14691158889791)",2023-08-18,California,Los Angeles,,1006,3020.04
"(-96.55804142813513, 39.20947203554829)",2023-08-18,Kansas,Riley,,3017,2.02
"(-71.13937018005919, 42.880615626417054)",2023-08-18,New Hampshire,Rockingham,,2022,1041.01
"(-81.50231737922518, 28.41925152532476)",2023-08-18,Florida,Orange,,1014,171.23
"(-71.16142142197077, 44.4982924765086)",2023-08-18,New Hampshire,Coos,,1006,9506
"(-71.55370303770843, 42.6985544641717)",2023-08-18,Massachusetts,Middlesex,,1004,3271.01
"(-71.37738968362152, 42.05222189979895)",2023-08-18,Massachusetts,Norfolk,,1007,4412.02
"(-71.48071222139332, 42.71436191141383)",2023-08-18,New Hampshire,Hillsborough,,1012,112
"(-71.47218122740153, 42.726941637302254)",2023-08-18,New Hampshire,Hillsborough,,6008,112
"(-71.07054576515985, 42.33978384957251)",2023-08-18,Massachusetts,Suffolk,,4001,712.01
"(-71.88201580195786, 42.091021134789365)",2023-08-18,Massachusetts,Worcester,,3034,7531
"(-71.45644429570766, 43.1393318102135)",2023-08-18,New Hampshire,Merrimack,,2000,32.01
"(-71.30299000143393, 42.54174594885906)",2023-08-18,Massachusetts,Middlesex,,4022,3164
"(-71.44631678659027, 43.28021742819751)",2023-08-18,New Hampshire,Merrimack,,4014,360
"(-86.14935158868391, 40.00067597976928)",2023-08-18,Indiana,Hamilton,,2029,1104.04
"(-71.43558521610653, 42.99905686679012)",2023-08-18,New Hampshire,Hillsborough,,4001,9.01
"(-82.00915035627744, 26.64779401154077)",2023-08-18,Florida,Lee,,1072,101.08
"(-71.07873122070643, 42.283225935414514)",2023-08-18,Massachusetts,Suffolk,,1005,1003
"(-71.19739792714326, 42.559947409474994)",2023-08-18,Massachusetts,Middlesex,,1000,3313
"(-71.26487581693588, 43.03588870771712)",2023-08-18,New Hampshire,Rockingham,,1021,500
